ID	COMP ID	LAST	FIRST	GENDER	YEAR	PREFERENCE	Q1	Q2	HOUSE
20419	zbi1jw	Cadden	Corie	M	Upperclass Student	3	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Munford
20420	jjk7bl	Riviera	Isabella	M	Upperclass Student	3	"a neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"a neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Munford
20421	fd6xl	Dangerfield	Freda	F	Upperclass Student	3	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Hoxton
20422	de5yp	Hamblin	Rosalind	F	Upperclass Student	2	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa no"	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa no"	Hoxton
20423	yam6ml	Holiday	Sheldon	F	Rising Second Year	3	"mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus "	"mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus "	Lewis
20424	ku9lu	Goold	Emilie	M	Rising Second Year	3	" quis turpis vitae magna commodo rutrum at ac lectus. In orci massa, rhoncus eget elementum vitae, rutrum et enim. Mauris tincidunt maximus arcu. Nunc sed placerat ipsum. Suspendisse elit massa, efficitur sit amet magna quis, malesuada dapibus diam. Fusce vel lacus eu turpis imperdiet blandit. In massa eros, ornare eget blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	" quis turpis vitae magna commodo rutrum at ac lectus. In orci massa, rhoncus eget elementum vitae, rutrum et enim. Mauris tincidunt maximus arcu. Nunc sed placerat ipsum. Suspendisse elit massa, efficitur sit amet magna quis, malesuada dapibus diam. Fusce vel lacus eu turpis imperdiet blandit. In massa eros, ornare eget blandit vitae, facilisis quis eros. Cras vehicula, ipsum vel fermentum ullamcorper, ex odio vulputate nulla, vitae congue nisi urna eget sapien. Fusce molestie nisi urna, interdum egestas massa semper vitae. Donec tincidunt nec justo ultricies interdum. Aliquam erat volutpat. Donec malesuada gravida nisi."	Lewis
20425	zwy8bt	Stage	Noelle	F	Rising Second Year	1	"Nullam mattis gravida tempus. Sed a leo ullamcorper, blandit nulla facilisis, suscipit metus. Quisque pharetra eleifend nisi a sc"	"Nullam mattis gravida tempus. Sed a leo ullamcorper, blandit nulla facilisis, suscipit metus. Quisque pharetra eleifend nisi a sc"	Hoxton
20426	ouj5dr	Mathis	Whitney	F	Rising Second Year	1	"eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Hoxton
20427	jz8yn	Naumann	Claudie	M	Upperclass Student	3	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Lewis
20428	sz4fi	Presgraves	Margo	F	Upperclass Student	2	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Munford
20429	wh1fj	Wallner	Mitsuko	M	Rising Second Year	1	"eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Gwathmey
20430	xy0ec	Korus	Angel	M	Upperclass Student	1	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Munford
20431	qu3bf	Bonelli	Cris	F	Upperclass Student	1	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Praesent tellus massa, lobortis vitae facilisis a, rhoncus id ex."	Munford
20432	vxp1ht	Burnam	Rosena	F	Upperclass Student	3	"Nullam mattis gravida tempus. Sed a leo ullamcorper, blandit nulla facilisis, suscipit me"	"Nullam mattis gravida tempus. Sed a leo ullamcorper, blandit nulla facilisis, suscipit me"	Lewis
20433	ftg7mm	Gearing	Willia	F	Upperclass Student	1	"c, posuere scelerisque dolor leo nec eros. Integer volutpat nisl sit amet elit aliquam, ac posuere libero interdum. Nam at venenatis augue, id venenatis magna. Maecenas maximus est quis est "	"c, posuere scelerisque dolor leo nec eros. Integer volutpat nisl sit amet elit aliquam, ac posuere libero interdum. Nam at venenatis augue, id venenatis magna. Maecenas maximus est quis est "	Gwathmey
20434	bff5ky	Prost	Alessandra	F	Rising Second Year	1	am erat volutpat. Donec malesuada gravida nisi.	am erat volutpat. Donec malesuada gravida nisi.	Gwathmey
20435	frl8rb	Deibel	Trula	F	Upperclass Student	2	am erat volutpat. Donec malesuada gravida nisi.	am erat volutpat. Donec malesuada gravida nisi.	Hoxton
20436	db4vu	Stallone	Denver	F	Upperclass Student	3	"c, posuere scelerisque dolor leo nec eros. Integer volutpat nisl sit amet elit aliquam, ac posuere libero interdum. Nam at venenatis augue, id venenatis magna. Maecenas maximus est quis est "	"c, posuere scelerisque dolor leo nec eros. Integer volutpat nisl sit amet elit aliquam, ac posuere libero interdum. Nam at venenatis augue, id venenatis magna. Maecenas maximus est quis est "	Munford
20437	xms3gi	Sanor	Ludie	F	Rising Second Year	2	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	"Nullam vel semper quam, non congue dolor. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Etiam nec nulla neque. Nulla lacinia arcu tellus, sit amet tempus augue vestibulum eu. Aliquam ac neque cursus, facilisis justo eget, mattis ipsum. Integer tristique augue at eros accumsan rhoncus. Sed metus elit, dapibus vitae ligula accumsan, scelerisque fermentum ipsum."	Munford
20438	avx5bg	Montrose	Marlys	F	Rising Second Year	1	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pra"	"Donec lobortis purus eget placerat imperdiet. Donec consectetur magna at libero venenatis pellentesque. Nullam ac dolor non felis venenatis ultrices. Pellentesque pulvinar dolor ornare condimentum dictum. Pellentesque rutrum ante orci, non viverra quam consequat quis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Cras sed justo ac mi dictum hendrerit. In ac lorem faucibus, bibendum magna at, suscipit urna. Nunc rhoncus tristique erat, id ullamcorper ex mollis sed. Sed non dapibus arcu, at fringilla lectus. Cras dignissim lectus eu tempus pulvinar. Pellentesque fermentum sit amet massa non finibus. Maecenas non pellentesque elit, finibus laoreet orci. Interdum et malesuada fames ac ante ipsum primis in faucibus. Pra"	Hoxton
